
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  NODE  NODE  NODE

      317   -8.29834777400       -36.1162306800        0.00000000000    
      318   -5.55978575600       -36.1191009400        0.00000000000    
      319   -3.27579222100       -18.1472979100        0.00000000000    
      320   -3.14907942600       -21.1322566400        0.00000000000    

   NODE        X                   Y                   Z
      321   -2.90424561100       -24.2340232200        0.00000000000    
      322   -2.79251723100       -27.2820245600        0.00000000000    
      323   -2.76542031100       -30.2689843200        0.00000000000    
      324   -2.76959201000       -33.2075215500        0.00000000000    
      325   -2.79385186600       -36.1167827800        0.00000000000    
      326   -23.2241764100       -26.5649819800        0.00000000000    
      327   -21.0622935900       -24.6262009800        0.00000000000    
      328   -18.6472790400       -22.9132677900        0.00000000000    
      329   -15.8465801000       -21.3523252200        0.00000000000    
      330   -14.3949263100       -18.6138614600        0.00000000000    
      331   -10.1365002200       -15.0147948100        0.00000000000    
      332   -8.59415118900       -12.7804637400        0.00000000000    
      333   -5.74183597100       -14.2746269200        0.00000000000    
      334   -2.83428462500       -15.2356158900        0.00000000000    
      335   -5.50151337000       -30.2223660000        0.00000000000    
      336   -35.6225309100       -37.5938676900        0.00000000000    
      337   -21.4784927400       -27.8735460000        0.00000000000    
      338   -21.6825752300       -33.4543906500        0.00000000000    
      339   -8.89117590900       -21.3972757700        0.00000000000    
      340   -12.2469220800       -16.7229899800        0.00000000000    

   NODE        X                   Y                   Z
      341   -18.4046639400       -12.6152532800        0.00000000000    
      342   -26.7645531700       -11.4057214700        0.00000000000    
      343   -28.0725530600       -14.0858249800        0.00000000000    
      344   -28.1092172000       -16.2841363700        0.00000000000    
      345   -28.1300256600       -18.0767008400        0.00000000000    
      346   -23.6024276400       -11.0327637000        0.00000000000    
      347   -25.1749188500       -14.2387357600        0.00000000000    
      348   -20.7727191300       -10.6852291900        0.00000000000    
      349   -31.1576877200       -21.7290923200        0.00000000000    
      350   -30.3921917800       -19.2997654600        0.00000000000    
      351   -30.8578507400       -16.4410965700        0.00000000000    
      352   -30.5481809900       -13.7198204400        0.00000000000    
      353   -30.0876420700       -11.1100517900        0.00000000000    
      354   -29.9249519100       -8.44295982000        0.00000000000    
      355   -26.9111322700       -8.47516273200        0.00000000000    
      356   -23.8909226400       -8.32831528500        0.00000000000    
      357   -20.7680698400       -8.15240884400        0.00000000000    
      358   -17.4816566400       -8.24609640700        0.00000000000    
      359   -25.1634401600       -16.5608824900        0.00000000000    
      360   -25.9997089800       -18.8118010700        0.00000000000    

   NODE        X                   Y                   Z
      361   -22.8637747700       -13.8367857900        0.00000000000    
      362   -20.4728219100       -13.3184334400        0.00000000000    
      363   -28.7720152700       -22.4549740900        0.00000000000    
      364   -30.7250051700       -24.0770835500        0.00000000000    
      365   -33.1360148200       -24.8711642300        0.00000000000    
      366   -33.5562949000       -22.0575480400        0.00000000000    
      367   -33.4884791500       -19.3061145300        0.00000000000    
      368   -33.4374076300       -16.5819257200        0.00000000000    
      369   -33.3546574800       -13.7857534600        0.00000000000    
      370   -33.1231232700       -11.0601676300        0.00000000000    
      371   -33.0133366600       -8.36449194400        0.00000000000    
      372   -32.9803399100       -5.64926353900        0.00000000000    
      373   -29.9893690700       -5.67167856800        0.00000000000    
      374   -27.0196074800       -5.65861766900        0.00000000000    
      375   -23.9987379500       -5.61685460500        0.00000000000    
      376   -20.9045033800       -5.57630064200        0.00000000000    
      377   -17.6959559500       -5.66584108200        0.00000000000    
      378   -13.8684617500       -8.77184997200        0.00000000000    
      379   -17.8432765000       -10.5964326300        0.00000000000    
      380   -16.9026519100       -13.7639477100        0.00000000000    

   NODE        X                   Y                   Z
      381   -15.2357787500       -11.4542715700        0.00000000000    
      382   -21.8872969400       -17.0818421600        0.00000000000    
      383   -23.4480090600       -19.7016571700        0.00000000000    
      384   -25.1513380300       -21.8105870100        0.00000000000    
      385   -27.0200524500       -23.8197333200        0.00000000000    
      386   -29.1352496700       -25.7047824200        0.00000000000    
      387   -31.6299570800       -27.2832018700        0.00000000000    
      388   -36.7411789800       -33.5722089100        0.00000000000    
      389   -35.7858538000       -31.2471055600        0.00000000000    
      390   -34.7493427300       -28.6106945100        0.00000000000    
      391   -35.8924127900       -25.3233306700        0.00000000000    
      392   -36.1810413600       -22.3238889800        0.00000000000    
      393   -36.2488884100       -19.4491169100        0.00000000000    
      394   -36.2166163800       -16.6440201400        0.00000000000    
      395   -36.1617946100       -13.8654641800        0.00000000000    
      396   -36.1043508300       -11.1080193400        0.00000000000    
      397   -36.0223657400       -8.35995148300        0.00000000000    
      398   -35.9975282700       -5.60094833100        0.00000000000    
      399   -36.0239141800       -2.80359932200        0.00000000000    
      400   -33.0823433000       -2.85138021200        0.00000000000    

   NODE        X                   Y                   Z
      401   -30.1438223000       -2.84812727500        0.00000000000    
      402   -27.1904278100       -2.85253964700        0.00000000000    
      403   -24.2244040700       -2.84798299500        0.00000000000    
      404   -21.2408966400       -2.86026284100        0.00000000000    
      405   -15.2994183700       -2.71818259000        0.00000000000    
      406   -14.6280947600       -5.50402455400        0.00000000000    
      407   -37.5900070600       -35.6131721000        0.00000000000    
      408   -19.1966398800       -15.5168614600        0.00000000000    
      409   -18.2541513800       -2.84447793900        0.00000000000    
      410   -27.5316003300       -20.6838120200        0.00000000000    
      411    14.4845851900       -27.1311689400        0.00000000000    
      412    11.9657806700       -26.5578448700        0.00000000000    
      413    16.7685682900       -27.8920768300        0.00000000000    
      414    18.6424323900       -28.6114413400        0.00000000000    
      415    19.0080452200       -30.7099239200        0.00000000000    
      416    16.4549494400       -30.6264523000        0.00000000000    
      417    13.9698718600       -30.1946359400        0.00000000000    
      418    11.4074063200       -29.8325466900        0.00000000000    
      419    8.74623633600       -29.6445693400        0.00000000000    
      420    9.27046050100       -26.2890509300        0.00000000000    

   NODE        X                   Y                   Z
      421    10.1273999100       -22.7462531400        0.00000000000    
      422    11.4939378200       -18.6573489700        0.00000000000    
      423    17.9502227400       -25.4521047600        0.00000000000    
      424    21.4546233100       -29.8661299000        0.00000000000    
      425    15.5560139200       -24.2042666800        0.00000000000    
      426    12.9432183000       -23.2020197500        0.00000000000    
      427    22.0386617100       -32.7821384300        0.00000000000    
      428    19.3235591600       -33.2653783100        0.00000000000    
      429    16.5771570600       -33.3451672900        0.00000000000    
      430    13.8770735100       -33.1979159300        0.00000000000    
      431    11.1902632500       -32.9735086700        0.00000000000    
      432    8.48444042700       -32.8616526200        0.00000000000    
      433    5.73881061900       -32.8441322500        0.00000000000    
      434    5.95999117100       -29.6777785300        0.00000000000    
      435    6.36067850700       -26.4038840900        0.00000000000    
      436    6.96009276700       -23.0657922200        0.00000000000    
      437    7.26774918600       -19.9572152200        0.00000000000    
      438    5.85263283300       -14.3356412800        0.00000000000    
      439    6.82847731400       -17.1074032000        0.00000000000    
      440    10.1375537700       -15.5749156900        0.00000000000    

   NODE        X                   Y                   Z
      441    14.6112155500       -19.9968081400        0.00000000000    
      442    17.1198743100       -21.5539022100        0.00000000000    
      443    19.4728746700       -23.3268243300        0.00000000000    
      444    21.6699148900       -25.4739956900        0.00000000000    
      445    23.7212935100       -28.3412489900        0.00000000000    
      446    24.6278439700       -32.2841863500        0.00000000000    
      447    26.0197441000       -28.9576585200        0.00000000000    
      448    27.1122458100       -31.3668213400        0.00000000000    
      449    33.5774483700       -36.7423077400        0.00000000000    
      450    31.2412598600       -35.7689692500        0.00000000000    
      451    28.5217957000       -34.6233009600        0.00000000000    
      452    25.2234718000       -35.5573767400        0.00000000000    
      453    22.3044236000       -35.8794908200        0.00000000000    
      454    19.4968207000       -36.0632198400        0.00000000000    
      455    16.6974758500       -36.1380907000        0.00000000000    
      456    13.8940903300       -36.1000099100        0.00000000000    
      457    11.1351514900       -36.0273427600        0.00000000000    
      458    8.37776370700       -35.9735682300        0.00000000000    
      459    5.61344520600       -35.9662524400        0.00000000000    
      460    2.83557977700       -36.0038090700        0.00000000000    

   NODE        X                   Y                   Z
      461    2.90738354300       -32.9721391600        0.00000000000    
      462    3.03235908100       -29.9265308200        0.00000000000    
      463    3.22940017600       -26.8621179700        0.00000000000    
      464    3.46159423100       -23.8452940700        0.00000000000    
      465    3.55060299600       -20.9213586200        0.00000000000    
      466    2.92507278500       -15.2714465900        0.00000000000    
      467    8.59924781600       -12.9927651600        0.00000000000    
      468    35.6075116800       -37.5876287400        0.00000000000    
      469    3.37832611900       -18.0914252300        0.00000000000    
      470    20.1300441900       -27.2634952500        0.00000000000    
      471   -4.85089977100        4.27411066300        0.00000000000    
      472   -5.50859290500        1.62102550800        0.00000000000    
      473   -2.43144178700        4.51637262400        0.00000000000    
      474   -2.69250578400        1.69784465600        0.00000000000    
      475   -9.81792905700        1.12593219400        0.00000000000    
      476   -8.04978939900        2.44375985400        0.00000000000    
      477   -7.17638391000        4.93032265100        0.00000000000    
      478   -6.37640766800        6.69434584500        0.00000000000    
      479   -4.57587027300        6.83238217800        0.00000000000    
      480   -2.45918228000        7.34098158900        0.00000000000    

   NODE        X                   Y                   Z
      481    31.8637789800        35.9689159800        0.00000000000    
      482    14.1816656500        28.9977631300        0.00000000000    
      483    11.7387093700        28.4070598400        0.00000000000    
      484    11.2214578000        25.4625481400        0.00000000000    
      485    11.5500479500        23.4119084500        0.00000000000    
      486    13.1537291800        26.0933884900        0.00000000000    
      487    15.4447357600        26.9800181600        0.00000000000    
      488    17.5092297100        28.1724723900        0.00000000000    
      489    12.1338062600        21.3306759200        0.00000000000    
      490    8.89333434000        21.0983803800        0.00000000000    
      491    8.60367197300        23.9064058300        0.00000000000    
      492    8.93925124200        27.1145081100        0.00000000000    
      493    8.43491782400        30.3572669200        0.00000000000    
      494    11.0416045000        30.8195513800        0.00000000000    
      495    13.5522772100        31.3712976200        0.00000000000    
      496    16.3629570700        30.8482636600        0.00000000000    
      497    18.7147343500        31.4030863400        0.00000000000    
      498    19.5760173400        29.2992818300        0.00000000000    
